אבולעפיה
אביטן
אבלס
אבןגבירול
אבןעזרא
אבןשםטוב
אבןתיבון
אברבאיה
אברמוב
אדרי
אהרונוב
אוזן
אוחנה
אונא
אופולס
אטיאס
אידר
איכילוב
אילוז
אינגדשט
אינטרטור
איציק
אלאלוף
אלבו
אלבז
אלבק
אלגזי
אליאך
אלפי
אלקבץ
אלרואי
אמינוף
אנסקי
אסייג
אפרון
ארדיטי
ארלוזורוב
ארקין
אשמן
באך
בדר
בהרב
בוגרשוב
בוכריס
בונים
בוסקילה
בורלא
ביחובסקי
בייגל
בייר
בירב
בירן
בכר
בלאס
בלבן
בלוך
בןבסט
בןדרור
בןהרוש
בןחמו
בןיוסף
בןלולו
"בןש""ך"
בןשושן
בןשלמה
בן-טובים
בן-שימול
בנבנשתי
בנגל
בסן
בקשט
בקשי
בראשר
ברדרורא
ברכוכבא
בראשי
ברדה
ברדוגו
ברהום
ברוד
ברוכין
ברום
בש
גוברין
גולדין
גולדן
גוש
גז
גיבלי
גיטלין
גילוץ
גלוסקא
גלי
גנס
גץ
גרבוז
גרופר
גרטי
גרסיאל
גרציאני
דואני
דוידוב
דייכס
דנון
דנין
דנינו
הספרי
הרן
והבה
ולנסי
זבדיה
זיסו
זיתוני
זכות
זמנהוף
חדאד
חודיידטוב
חיון
חיטובסקי
חכים
חכמוביץ
חמו
חצרוני
טפר
יחיל
יעבץ
ירושלמי
ישראלס
כגן
כדורי
כהנוב
כוכבא
כחילה
לוגסי
לויט
לויטן
לומברוזו
לוק
לוריא
ללוש
לנדס
לניאדו
מאייר
מאירוב
מדינה
מדר
מוגרבי
מויאל
מולכו
מונטיפיורי
מועלם
"מזי""א"
מזרחי
מימון
מכליס
מלכא
מלכה
מנדס
מנצור
מצגר
מקלף
נהרי
נודל
נחמיאס
ניאזוב
סבן
סומך
סופרמן
סורקין
סיידא
ספרא
ספראי
ספרן
סרגוסטי
סרגוסי
עבאדי
עדס
עזרן
עטיה
עיני
פאפו
פוזנר
פיאמנטה
פייבלזון
פלאג'י
פלומבו
פלורנטין
פלטי
פלטניק
פנחסוב
פרטוש
פריד
פרימו
פרמינגר
פררה
צ'יזיק
צליוק
קוזי
קונפינו
קורמן
קטורזה
קלדרון
קלינגר
קרא
קרווחל
קריאף
קשטן
רביבו
רבין
רבן
רוזן
רוקני
רילף
רנרט
רסקי
שבילי
שזר
שכטר
שכנאי
שמידע
שפרוט
שרגא
תא-שמע
תלמי
